date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:05:49	39564/39564	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Feb%202016%2006:17:00%20GMT	http://trendytheme.net/demo/iamx/v/index-2.html	C:/Users/Events%20Travel/Documents/iamx/iamx/trendytheme.net/demo/iamx/v/index-2.html	(from )
12:05:50	76/76	---MCZ	200	added ('OK')	text/plain	date:Thu,%2017%20Aug%202017%2010:05:51%20GMT	http://trendytheme.net/robots.txt		(from )
12:05:50	117150/117150	---MCZ	200	added ('OK')	text/css	date:Tue,%2031%20Mar%202015%2017:31:06%20GMT	http://trendytheme.net/demo/iamx/v/assets/bootstrap/css/bootstrap.min.css	C:/Users/Events%20Travel/Documents/iamx/iamx/trendytheme.net/demo/iamx/v/assets/bootstrap/css/bootstrap.min.css	(from http://trendytheme.net/demo/iamx/v/index-2.html)
12:05:51	22044/22044	---MCZ	200	added ('OK')	text/css	date:Tue,%2031%20Mar%202015%2017:31:06%20GMT	http://trendytheme.net/demo/iamx/v/assets/css/font-awesome.min.css	C:/Users/Events%20Travel/Documents/iamx/iamx/trendytheme.net/demo/iamx/v/assets/css/font-awesome.min.css	(from http://trendytheme.net/demo/iamx/v/index-2.html)
12:05:51	72922/72922	---MCZ	200	added ('OK')	text/css	date:Tue,%2031%20Mar%202015%2017:31:06%20GMT	http://trendytheme.net/demo/iamx/v/assets/css/animate.css	C:/Users/Events%20Travel/Documents/iamx/iamx/trendytheme.net/demo/iamx/v/assets/css/animate.css	(from http://trendytheme.net/demo/iamx/v/index-2.html)
12:05:51	7789/7789	---MCZ	200	added ('OK')	text/css	date:Tue,%2031%20Mar%202015%2017:31:06%20GMT	http://trendytheme.net/demo/iamx/v/assets/css/magnific-popup.css	C:/Users/Events%20Travel/Documents/iamx/iamx/trendytheme.net/demo/iamx/v/assets/css/magnific-popup.css	(from http://trendytheme.net/demo/iamx/v/index-2.html)
12:05:52	32590/32590	---MCZ	200	added ('OK')	text/css	date:Mon,%2022%20Feb%202016%2021:35:36%20GMT	http://trendytheme.net/demo/iamx/v/assets/css/style.css	C:/Users/Events%20Travel/Documents/iamx/iamx/trendytheme.net/demo/iamx/v/assets/css/style.css	(from http://trendytheme.net/demo/iamx/v/index-2.html)
12:05:52	5619/5619	---MCZ	200	added ('OK')	text/css	date:Wed,%2001%20Apr%202015%2004:55:56%20GMT	http://trendytheme.net/demo/iamx/v/assets/css/responsive.css	C:/Users/Events%20Travel/Documents/iamx/iamx/trendytheme.net/demo/iamx/v/assets/css/responsive.css	(from http://trendytheme.net/demo/iamx/v/index-2.html)
12:05:52	3438/3438	---M--	200	added ('OK')	image/png	date:Tue,%2031%20Mar%202015%2017:31:06%20GMT	http://trendytheme.net/demo/iamx/v/assets/images/ico/favicon.png	C:/Users/Events%20Travel/Documents/iamx/iamx/trendytheme.net/demo/iamx/v/assets/images/ico/favicon.png	(from http://trendytheme.net/demo/iamx/v/index-2.html)
12:05:52	7135/7135	---M--	200	added ('OK')	image/png	date:Tue,%2031%20Mar%202015%2017:31:06%20GMT	http://trendytheme.net/demo/iamx/v/assets/images/ico/apple-touch-icon-144-precomposed.png	C:/Users/Events%20Travel/Documents/iamx/iamx/trendytheme.net/demo/iamx/v/assets/images/ico/apple-touch-icon-144-precomposed.png	(from http://trendytheme.net/demo/iamx/v/index-2.html)
12:05:53	5784/5784	---M--	200	added ('OK')	image/png	date:Tue,%2031%20Mar%202015%2017:31:06%20GMT	http://trendytheme.net/demo/iamx/v/assets/images/ico/apple-touch-icon-114-precomposed.png	C:/Users/Events%20Travel/Documents/iamx/iamx/trendytheme.net/demo/iamx/v/assets/images/ico/apple-touch-icon-114-precomposed.png	(from http://trendytheme.net/demo/iamx/v/index-2.html)
12:05:53	4907/4907	---M--	200	added ('OK')	image/png	date:Tue,%2031%20Mar%202015%2017:31:06%20GMT	http://trendytheme.net/demo/iamx/v/assets/images/ico/apple-touch-icon-72-precomposed.png	C:/Users/Events%20Travel/Documents/iamx/iamx/trendytheme.net/demo/iamx/v/assets/images/ico/apple-touch-icon-72-precomposed.png	(from http://trendytheme.net/demo/iamx/v/index-2.html)
